# delay_800pp, ch0_on, ch1_on, ch2_on, ch3_on, ch4_on, ch5_on, ch6_on, ch7_on, ch0_off, ch1_off, ch2_off, ch3_off, ch4_off, ch5_off, ch6_off, ch7_off, ch0_on_std, ch1_on_std, ch2_on_std, ch3_on_std, ch4_on_std, ch5_on_std, ch6_on_std, ch7_on_std, ch0_off_std, ch1_off_std, ch2_off_std, ch3_off_std, ch4_off_std, ch5_off_std, ch6_off_std, ch7_off_std, ch0_on_npulses, ch1_on_npulses, ch2_on_npulses, ch3_on_npulses, ch4_on_npulses, ch5_on_npulses, ch6_on_npulses, ch7_on_npulses, ch0_off_npulses, ch1_off_npulses, ch2_off_npulses, ch3_off_npulses, ch4_off_npulses, ch5_off_npulses, ch6_off_npulses, ch7_off_npulses, 
-9.110643924659545172e-10 1.174138698632812520e+04 8.676075861328125029e+03 1.438379960205078078e+03 8.058370971679687522e-02 4.560496826171874796e-01 5.241156005859375078e-02 -1.959553222656250093e-01 2.547741699218750155e-02 1.174053772460937580e+04 1.015683632507324177e+02 1.437202453369140585e+03 1.742108764648437613e-01 5.441394653320312802e-01 1.834296874999999938e-01 -2.043970947265625060e-01 1.968563232421874920e-01 2.485802840159384886e+01 9.584358031379496268e+00 9.651620950455503944e+00 3.230440848608419291e+00 2.465036521412109494e+00 4.580845210488220687e+00 3.926543670697181021e+00 4.919445188671265790e+00 2.443569601550979442e+01 7.661822377485029811e+00 9.716475321446068847e+00 3.314195918876680746e+00 2.709116761635311121e+00 4.502310563745179905e+00 4.197485121993746127e+00 4.462614315524334963e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
-9.110395757939486917e-10 1.173996968554687555e+04 8.676553773437499331e+03 1.439092479003906192e+03 1.766146850585937483e-02 3.668303222656250084e-01 -8.998284912109374978e-02 -3.257109375000000195e-01 5.236672363281249520e-01 1.174328804296875023e+04 1.019925918579101562e+02 1.438087785156249993e+03 -2.286709594726562406e-02 4.450689086914062509e-01 3.432157592773437682e-01 -7.782507324218750078e-02 -2.938541259765625191e-01 2.421366225770458058e+01 9.980001220354456137e+00 9.769546775529660110e+00 3.062535425596339955e+00 2.387783823784128234e+00 4.758260646620925627e+00 4.185854603518762929e+00 4.684956362827112031e+00 2.514099703436911781e+01 8.114804143465512709e+00 9.552152647852135914e+00 3.229264925062050651e+00 2.729038416953923463e+00 4.363808177986656212e+00 4.019347759146584487e+00 4.537735947423829685e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
-9.110145856720851721e-10 1.174299224414062519e+04 8.676390017578125480e+03 1.436733015625000007e+03 8.449475097656250488e-02 4.609536743164062700e-01 1.874035644531250044e-01 4.688903808593750111e-02 -9.941137695312500522e-02 1.173909327343750010e+04 1.027585878753662172e+02 1.435959887695312545e+03 6.913888549804687866e-02 3.753767700195312362e-01 1.229471435546874991e-01 -1.824720458984374905e-01 1.220895996093750019e-01 2.445209922599059738e+01 9.671944965910189040e+00 9.853172777770788926e+00 3.108833676350156505e+00 2.477386759452072873e+00 4.342712187060202567e+00 4.124974045279019563e+00 4.371630761154549738e+00 2.478119176950346514e+01 7.883710986881395932e+00 9.745071620792961298e+00 2.979501916699706765e+00 2.581000801461771577e+00 4.675507981094553678e+00 4.098962327550119689e+00 4.506084983936860411e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
-9.109893687311760368e-10 1.173896160546875035e+04 8.676853896484375582e+03 1.437280907714843806e+03 1.284332580566406312e-01 6.741268920898437766e-01 2.472139892578124887e-01 1.053478393554687503e-01 -5.589344482421875204e-01 1.174353580468750079e+04 1.024878939361572208e+02 1.436401653320312562e+03 1.729886169433593746e-01 3.934570312499999778e-01 -1.810081787109374951e-01 1.686181640625000061e-02 4.110332031250000240e-01 2.476427453836256021e+01 9.570808426937656321e+00 9.825050084233923897e+00 3.003059673235860760e+00 2.622668659856167928e+00 4.351889484328854252e+00 4.330578777522721801e+00 4.839368843260768216e+00 2.433752497352105237e+01 7.934560708591880562e+00 9.725383939553946533e+00 3.100753790702079904e+00 2.646427682817640736e+00 4.801361938777123584e+00 4.081060583682845078e+00 4.644946624929791490e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
-9.109643519247187632e-10 1.174167914257812481e+04 8.676610210937500597e+03 1.436129659423828116e+03 6.344439697265624734e-02 3.645056152343750244e-01 -1.842275390625000009e-01 -1.035790405273437492e-01 -1.779464111328125098e-01 1.173996051367187465e+04 1.027213756103515578e+02 1.435341643554687607e+03 -8.333880615234375011e-02 5.837833251953125080e-01 7.563964843749999833e-02 -2.054743652343750115e-01 4.795356445312500271e-01 2.388273119813119649e+01 9.519439544211667936e+00 1.008677304173947853e+01 2.956398368479960848e+00 2.607843307769978747e+00 4.577388774306268893e+00 4.091530833602871731e+00 4.590475485412725654e+00 2.417921597193417682e+01 7.963068863507726469e+00 9.799563105502411275e+00 3.065001693393269555e+00 2.393818079743937233e+00 4.431969055006173441e+00 4.004396318850386827e+00 4.749664276235031402e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
-9.109393951585966346e-10 1.174147724804687459e+04 8.675769113281250611e+03 1.437316077392578109e+03 3.853344726562499961e-02 4.793731689453125111e-01 5.612420654296874922e-02 -1.498194580078124893e-01 7.744018554687500007e-03 1.174109696484374945e+04 1.009809959411621065e+02 1.436260747070312391e+03 1.983948974609374971e-01 6.683732299804687749e-01 1.505860595703125138e-01 -2.681499023437500240e-01 6.625659179687500011e-02 2.376096209011126703e+01 9.301679537319108348e+00 9.749683270206938701e+00 3.103241054491974182e+00 2.683464504229051251e+00 4.370596382462371032e+00 3.994725853098220369e+00 4.868051956924204227e+00 2.439331080866462287e+01 8.024262748052770178e+00 9.968796780738362173e+00 3.134418352072906089e+00 2.499151253930145256e+00 4.445658727949583167e+00 4.125848732349100878e+00 4.772780458709118712e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
-9.109143850232877219e-10 1.173845548242187579e+04 8.675287134765625524e+03 1.436952958496093743e+03 2.448861694335937450e-02 4.780073852539062362e-01 -1.471837768554687398e-01 2.280689697265624871e-01 -3.925561523437499922e-02 1.174216707812499953e+04 1.008420856323242134e+02 1.435944654052734450e+03 2.154220886230468757e-01 5.114862670898437935e-01 2.183093261718749983e-02 -2.311749267578125100e-01 9.937854003906250455e-02 2.380307954704697693e+01 9.178369070740048485e+00 9.740009848736299602e+00 3.054673354878512548e+00 2.568773607660939984e+00 4.438852959726774294e+00 4.034446870052255107e+00 4.655814013295409559e+00 2.502475309938503756e+01 8.037441803276838215e+00 9.743642662216545958e+00 3.106270798470475825e+00 2.471320388843081250e+00 4.441256773079111042e+00 4.254235499237670304e+00 4.603666548619320231e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
-9.108893348610886437e-10 1.174387548632812468e+04 8.674186970703125553e+03 1.437321980468750098e+03 2.440777587890624878e-01 4.805701293945312536e-01 -2.670533447265625027e-01 -3.413358764648437571e-01 4.836499023437500211e-02 1.173996729296874946e+04 1.005043712615966740e+02 1.436376169921875089e+03 -2.397796630859375111e-02 4.851134643554687598e-01 4.880717163085937504e-01 -2.643011474609375036e-02 6.174511718749999684e-02 2.504735981339337414e+01 9.001392576152257519e+00 9.570839341564743918e+00 3.117428483420145557e+00 2.557896757449089176e+00 4.414590159208778175e+00 4.126557391890376181e+00 4.772800238683485574e+00 2.413161929263065630e+01 7.794867385594317355e+00 9.882409376493590969e+00 3.089816979682911580e+00 2.470697004988934964e+00 4.511739823956011364e+00 4.014603211363445112e+00 4.785259107927825717e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
-9.108643847661151862e-10 1.173940477929687586e+04 8.675521306640624971e+03 1.437842584960937529e+03 2.283374023437500025e-02 5.399641113281250515e-01 1.149775390624999949e-01 4.684399414062499767e-02 5.597729492187499684e-02 1.174261341796875058e+04 1.008946857147216747e+02 1.436899085693359439e+03 8.779968261718749944e-02 4.264470214843750218e-01 3.769671630859375289e-02 7.082183837890625167e-02 2.965886230468749996e-01 2.501279891404002953e+01 9.436177663202483856e+00 9.682905567224281640e+00 3.101505697082637347e+00 2.409235401280967359e+00 4.663096758086241245e+00 4.198107450647060368e+00 4.776939553691644136e+00 2.426542764656689855e+01 7.775917645128896716e+00 9.861575368024519506e+00 3.141285030143315726e+00 2.750911397573502004e+00 4.515904356512086437e+00 4.218260913890958363e+00 4.559411767515379132e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
-9.108395013826253379e-10 1.174101537890624968e+04 8.675623212890624927e+03 1.437474539062500071e+03 -6.022247314453124667e-02 5.884671020507812322e-01 -1.727465820312500122e-01 2.807490844726562296e-01 -1.760437011718750111e-01 1.174085523437499978e+04 1.017909714050292962e+02 1.436541683105468792e+03 1.029562072753906210e-01 4.683005981445312327e-01 -1.854702758789062433e-01 2.996362304687499867e-01 -1.404570312500000029e-01 2.399154744935713524e+01 9.705661555166171794e+00 9.532729112679199091e+00 3.145051859643907211e+00 2.418049925505734166e+00 4.413156040490644472e+00 4.060316097388527723e+00 4.707880795679313835e+00 2.440400351914519561e+01 7.816799204575752391e+00 9.461074982256876709e+00 3.131377949550273154e+00 2.699144249429456188e+00 4.736050240839141168e+00 3.786352817871161403e+00 4.719984634071238361e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
