# delay_800pp, ch0_on, ch1_on, ch2_on, ch3_on, ch4_on, ch5_on, ch6_on, ch7_on, ch0_off, ch1_off, ch2_off, ch3_off, ch4_off, ch5_off, ch6_off, ch7_off, ch0_on_std, ch1_on_std, ch2_on_std, ch3_on_std, ch4_on_std, ch5_on_std, ch6_on_std, ch7_on_std, ch0_off_std, ch1_off_std, ch2_off_std, ch3_off_std, ch4_off_std, ch5_off_std, ch6_off_std, ch7_off_std, ch0_on_npulses, ch1_on_npulses, ch2_on_npulses, ch3_on_npulses, ch4_on_npulses, ch5_on_npulses, ch6_on_npulses, ch7_on_npulses, ch0_off_npulses, ch1_off_npulses, ch2_off_npulses, ch3_off_npulses, ch4_off_npulses, ch5_off_npulses, ch6_off_npulses, ch7_off_npulses, 
-9.113138267042052766e-10 1.174321990039062439e+04 8.678061667968750044e+03 1.444052134033203174e+03 2.110778808593750111e-01 6.424141235351562562e-01 4.774108886718750333e-02 -7.742517089843750644e-02 -1.681560058593750129e-01 1.174012348242187545e+04 1.041620979156494116e+02 1.442936510009765698e+03 2.658440246582031152e-01 4.078474731445312362e-01 -3.289978027343750111e-01 1.534382324218749871e-01 3.944519042968749889e-02 2.423892549573928790e+01 9.476488377473959446e+00 9.198948788689000011e+00 3.058888005777562924e+00 2.582005684817315405e+00 4.674158279224842616e+00 4.028059967893414139e+00 4.928225012175696307e+00 2.435011605736577778e+01 7.849619637651613857e+00 9.318503438105736336e+00 3.178618283664741639e+00 2.616019155620105341e+00 4.302058754662598794e+00 3.871216417468107185e+00 4.766945698231641160e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
-9.112887098305221756e-10 1.174094185546875087e+04 8.678550843749999331e+03 1.444315731445312394e+03 9.070535278320313033e-02 4.417996826171874947e-01 -9.339813232421874389e-02 -1.248333129882812503e-01 -4.311986083984374885e-01 1.174318217968749923e+04 1.041747837066650391e+02 1.443301779052734446e+03 -4.027746582031249689e-02 4.679106445312499751e-01 2.149652099609375075e-02 -8.880432128906250860e-03 7.328820800781249423e-02 2.430394631661486926e+01 9.484731390748871505e+00 9.438484151649653597e+00 3.118759292905740832e+00 2.809860560709876331e+00 4.598153302985187985e+00 4.246349822611127145e+00 4.896861633067487674e+00 2.396252866802571546e+01 8.285514334006638393e+00 9.456204906993768589e+00 3.035414240580163181e+00 2.354648397058265896e+00 4.743128757159626119e+00 4.047927365060792759e+00 4.656811815712011970e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
-9.112637997624389870e-10 1.174216380664062490e+04 8.678257148437500291e+03 1.445204356689453107e+03 8.812191772460938044e-02 4.717206420898437669e-01 2.391898803710937604e-01 5.925848388671874772e-02 -1.240649414062500039e-01 1.174214711523437472e+04 1.046312041015625027e+02 1.444253352539062462e+03 1.277343750000000050e-03 3.900989379882812691e-01 8.165881347656249456e-02 -8.696014404296875666e-02 -5.300426025390625462e-01 2.442992244220491216e+01 9.631457004666810207e+00 9.263895957321180319e+00 3.014197723361311976e+00 2.712283421661433547e+00 4.395787400905342146e+00 4.140808723221089949e+00 4.828390767500766678e+00 2.552386045575574514e+01 8.191497453100250681e+00 9.233101003345485225e+00 3.135775620137831510e+00 2.507176719349235139e+00 4.502182328123057964e+00 4.110812659324261098e+00 4.878592924619472804e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
-9.112390231173235339e-10 1.174288819921875074e+04 8.677546558593750888e+03 1.446933360595703107e+03 8.738339233398437211e-02 6.869268188476562731e-01 2.130994873046875016e-01 -2.283970336914062371e-01 2.758972167968749833e-02 1.174096342578125041e+04 1.032466202392578083e+02 1.445891281005859355e+03 -1.027267456054687528e-02 5.110737304687500426e-01 9.340362548828125278e-02 2.368635864257812584e-01 -1.748110351562499887e-01 2.409409936241933181e+01 9.539349718374605658e+00 9.290085836765271665e+00 3.127093132829631639e+00 2.495112759490007548e+00 4.506599200434328267e+00 4.025862002526718442e+00 5.025750903906058831e+00 2.427237600104299275e+01 7.647101432390004838e+00 9.230771865870726955e+00 2.983294631473517367e+00 2.346007471069611938e+00 4.586724467386810389e+00 3.966554045489059988e+00 4.851298752916850532e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
-9.112139529416791661e-10 1.173945644335937504e+04 8.677407009765625844e+03 1.447241335693359360e+03 2.570776977539062647e-01 4.736634521484375249e-01 -2.026826782226562595e-01 -7.644244384765624956e-02 1.701889648437500124e-01 1.174363555273437487e+04 1.030766245422363312e+02 1.446232483398437580e+03 6.083465576171874674e-03 6.034458618164062482e-01 8.572186279296875600e-02 3.852484130859375189e-02 -1.446660156250000051e-01 2.412220805600016860e+01 9.592709913341368022e+00 9.182837930849473196e+00 3.156453051394559672e+00 2.257667832719423728e+00 4.206674795629876229e+00 3.916708866321702232e+00 4.795479818605309141e+00 2.468236551762543129e+01 7.722814166712484329e+00 8.920126463073847489e+00 3.210588831475519100e+00 2.749961695560131592e+00 4.523046038642791089e+00 4.010007303099561327e+00 4.768599755730124734e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
-9.111888760948861272e-10 1.174354644921874933e+04 8.677331066406250102e+03 1.447120194824218743e+03 1.116668701171874972e-01 3.940352172851562251e-01 1.374857788085937504e-01 -1.066333007812499990e-02 -4.142219238281250049e-01 1.173978878124999937e+04 1.035955182647705044e+02 1.446430637207031168e+03 2.401657104492187569e-02 5.504801635742186949e-01 1.609948120117187520e-01 -1.502828369140624953e-01 -3.050009765625000258e-01 2.449547661199276405e+01 9.271429524192768667e+00 9.058482526394515233e+00 3.108759135234159032e+00 2.461666752292242855e+00 4.813407111680533035e+00 3.883577037217682548e+00 4.556627247887384158e+00 2.349971905213803680e+01 7.584697885231691750e+00 9.110275501225750361e+00 3.072970731042826475e+00 2.596524066481793902e+00 4.538286262111230762e+00 4.069379656167201098e+00 4.594579388250631169e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
-9.111639927113966925e-10 1.174119416992187507e+04 8.677376210937500218e+03 1.444833797851562394e+03 9.147210693359375533e-02 6.409238281250000391e-01 1.195002441406250032e-01 -5.824487304687499950e-02 2.487218017578124996e-01 1.174191442773437484e+04 1.031714368896484331e+02 1.443871627929687520e+03 3.587774658203125161e-02 3.743257446289062762e-01 -3.817749023437499827e-03 4.138804931640625018e-01 4.001306152343749728e-02 2.454483099555988446e+01 9.474416888690662120e+00 9.124041029840553207e+00 3.030550554066266944e+00 2.483704853110842325e+00 4.269264906638431611e+00 4.069874510784362798e+00 4.629872029091647079e+00 2.395902035537669406e+01 7.858480321962535875e+00 9.329105578723760672e+00 3.053859292381621238e+00 2.673476729005063834e+00 4.430582288685514847e+00 4.082781583669356174e+00 4.921533015745453987e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
-9.111389692337909546e-10 1.173928734960937436e+04 8.677288242187500146e+03 1.443673965820312560e+03 6.000540161132812689e-02 3.194496459960937673e-01 -7.728039550781250211e-02 1.383540649414062573e-01 4.063017578124999973e-01 1.174305855078125023e+04 1.030532490692138623e+02 1.442699445068359410e+03 1.792278137207031219e-01 3.425201416015625222e-01 -2.810134277343749876e-01 -1.131477661132812562e-01 2.689101562499999765e-01 2.443432916296611523e+01 9.055300639494575421e+00 9.017063926566260434e+00 3.108779500058838963e+00 2.377845478669011747e+00 4.709156272428090872e+00 4.190842336098932641e+00 5.004368740787237257e+00 2.439041416860683853e+01 7.892504863435057416e+00 9.208614850310686606e+00 3.172270038089971322e+00 2.497218990550226447e+00 4.668779350381691451e+00 3.926516222363985342e+00 4.845369886343656063e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
-9.111139057292949478e-10 1.174310816796875042e+04 8.677094132812500902e+03 1.444074720703124967e+03 1.189555664062500046e-01 8.345692138671875204e-01 -1.789884033203124891e-01 1.347590942382812518e-01 2.471660156250000129e-01 1.173887175195312557e+04 1.037068328552246044e+02 1.443057803955078043e+03 2.327667236328124882e-03 5.373399658203125151e-01 -2.881613769531249925e-01 9.547937011718750366e-02 -4.424681396484375084e-01 2.378367594368735993e+01 9.862923247406031990e+00 9.247062623143124327e+00 3.016648177797979447e+00 2.778088409116128421e+00 4.598643599912459301e+00 4.133653353703632405e+00 5.034833158242919104e+00 2.418471905120094689e+01 8.628477123512487523e+00 9.276835698668802976e+00 3.179208071301756533e+00 2.377597578159303726e+00 4.664478364702905999e+00 4.179829022828232432e+00 5.085153236037943003e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
-9.110888955939860351e-10 1.174119467578124932e+04 8.678130912109374549e+03 1.443955882324218692e+03 2.450329589843749933e-01 6.492228393554687615e-01 1.864953613281249839e-02 1.071837768554687459e-01 -1.871770019531250051e-01 1.174082290234375068e+04 1.039351347045898422e+02 1.442738642333984444e+03 1.500227355957031161e-01 4.503770141601562416e-01 1.136663818359374967e-01 4.075592041015625028e-02 5.642089843749999861e-02 2.452924811593192445e+01 9.570407278064450907e+00 9.175080639788065540e+00 3.157348870144091713e+00 2.689829718030650074e+00 4.470158716083833639e+00 4.141913349764940300e+00 4.526018691322532206e+00 2.373765100365601910e+01 8.107075622124023440e+00 9.018659841383767528e+00 3.138473722750861672e+00 2.329818483060627887e+00 4.430382786112522453e+00 3.947961468245763328e+00 4.554940789181172178e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
